Username,Review Date,Review,Country,Date,Cleaned_Review
なす,Reviewed in Japan on 19 April 2024,7700ｋがwindows11に対応していないのでそろそろ新しいPCを組まなければと思いこちらを選びました。今までずっとｋ付きのi7を使ってきたので今回もそうしました。7700ｋが消費電力91ｗなのにこちらは253ｗとあり、目玉が飛び出しました。7700ｋは虎徹で十分に冷えましたがこちらは無理そうで、クーラーはDeepCoolのAK620を選びました。125ｗに電力制限をかければ70度程度に落ち着き、安心して使えそうです。グリスの塗り方を適切にすればもう少し下がりそうに思います。肝心の使用感ですが、論理コア含めて28コアもあるのでよほどの作業をしても重くならないという安心感があります。僕の使用状況を考えるとオーバースペックなのですが、あとになって性能が足りないと後悔するよりも、性能の高い方を買って十分なものを買ったんだと安心するほうが僕の性に合っています。僕がi7を買い続ける理由はこの安心感なのです。電力制限が必要なのも僕にとっては利点です。普段は125ｗに制限をかけておけば、いざというときに制限を解除できるという安心感につながるからです（いざというときなんてきっと来ません。分かっています）今回のi7も十分な安心感を買えたと思います。,Japan,19 April 2024,since k support window chose build new pc soon use k even though k w power consumption w centerpiece popped k cool enough toru seem impossible cooler chose deepcools ak power limit apply w settle degree seem usable confidence grease apply appropriately little low although important feel use core include logical core sense security heavy even good work consider usage overspec well relieve buy high performance buy enough regret performance enough later reason keep buying sense security also advantage power restriction need normally limit w lead sense security cancel limit emergency come case emergency know also buy sufficient security think
一般人,Reviewed in Japan on 8 December 2023,初自作に使用。240mm簡易水冷でそこそこに冷やせます私は制限125wで運用最新のi7を使っているだけで気分的には最高です,Japan,8 December 2023,use first time mm cool simple water cool
Blaz Cegnar,Reviewed in Germany on 15 March 2024,"Haven't installed yet but looks fine. Die size is 30x40 mm, meaning 0,3 ml/0,8 g is the perfect amount of thermal paste (not included). I'll put 5 dots.",Germany,15 March 2024,instal yet look fine die size x mm meaning ml g perfect amount thermal paste include put dot
Falcos01,Reviewed in Canada on 18 January 2024,"Arrived earlier than expected, a very good Cpu. Expansive but what could we do.",Canada,18 January 2024,arrive earlier expect good cpu expansive could
Rich and Jen,Reviewed in the United States on 3 January 2024,"I guess everyone is right, these things are hot and then some.  I went with a off brand AIO, and for the most part I'm good.  It does get spicy when I'm rendering or doing some crazy multi tasking.Gaming seems fine, no issues.  I play all kinds of games, FPS, MMO's, survival, etc.  (Paired with a Gigabyte Gaming 4090 OC, Tforce 64 gigs 6000 M/T DDR5, samsung 990 pro NVME 2 tb x2, no OCing done by me.)I replaced a 5950x, which was having issues for some reason, just felt like it was getting slower and slower, thermal paste and heat were fine on it, never got over 60c with the beefier AIO I had on it.  Just took longer and longer to render things.  I guess I wore it out!I just think you'll want a good AIO, and/or a solid water cooling solution for this to really get the best out of it.  I'm not sure a air cooled option will do you any good, but hey I've been wrong many times, so there might be something that can handle the job.All in all, not bad, but it's not going to give you much performance boost over last gen, matter of fact I found out later 13700k beats it in a lot of tests, blargh!  Either way, its fast, and it runs everything great, so I'm happy till the next go around.",the United States,3 January 2024,guess everyone right thing hot go brand aio part good get spicy render crazy multi task game seem fine issue play kind game fps mmos survival etc pair gigabyte game oc tforce gig ddr samsung pro nvme tb x ocing do replace x issue reason felt like get slow slow thermal paste heat fine never get c beefier aio take longer longer render thing guess wore think want good aio solid water cool solution really get best sure air cool option good hey wrong many time might something handle job bad go give much performance boost last gen matter fact found later k beat lot test blargh either way fast run everything great happy till next go around
Simon R,Reviewed in Germany on 13 January 2024,"Nachdem ich vor einer Weile auf einen 2k 144hz Bildschirm geupgraded hab, hat mein 9600k das Bocken angefangen und konnte in letzter Zeit nicht mehr die gewünschte Leistung bringen.Hab jetzt seit ein paar Tagen dieses gute Stück hier und was soll man sagen… ein Rennpferd bester Güte. High End Gaming bewältigt der 14700k Mühelos. (ein Beispiel: Forza Motorsport unter 25% auslastung laut taskmanager und laut intel monitoring unter 5% auslastung... verwirrend) Man könnte  auch 2 oder 3+ Titel gleichzeitig laufen lassen wenn die Grafikkarte das mitmacht.Mit meiner aio kühlung kann er im Stresstest schon auf 90 grad hochgehen, die ist aber schon bisschen älter, mit einer neuen lässt sich da sicher noch was machen.In Spielen ca. 60-70grad.die performance ist jedenfalls hervorragenddas geld hat sich jedenfalls gelohnt, allerdings ist jetzt meine 3070 wieder das bottleneck 😂👍",Germany,13 January 2024,k hz screen upgraded ago k start chill recently able bring desire performance day good piece say race horse bestquality high end game deal k effortlessly example forza motorsport utilization accord task manager accord intel monitoring utilization confuse title could also run time graphic card take part aio cool stress testalready go degree bit old new one still something play degree performance case excellent money thatbottleneck
Manas ranjan pani,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for money,India,25 October 2023,meaning new chip provide generational uplift except thing well last gen hefty power consumption ur fine work fine think ur electricity bill gon na sky rocket uplift money worth rather buy gen ddr ram help else get r provide less like percent percentage less power draw ryzen well come desktop processor efficiency value money
BANGMOY CHAKRABORTY,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy it,India,23 October 2023,beast game world nd powerful processor set processer rtx gb ram gb tb nvme ssd watt pls buy
Cliente de Amazon,Reviewed in Mexico on 22 March 2024,"El procesador llego bien empacado y con sus condiciones y funcionalidad excelente, cumple con todo; no tiene disipador de stock, pero hay tener en cuenta que para este tipo de procesadores es necesario un disipador de calor más eficiente que los que vienen en otros procesadores",Mexico,22 March 2024,processor arrive well packed condition excellent functionality meet everything stock dissipator necessary type processor efficient heat dissipator necessary come processor
Mergatroid,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen.",Canada,8 December 2023,use k decide time well actually get itch decide go k reason one th gen part intel get significant upgrade four e core thread plus small clock boost also like dfx part amd cause minor issue people definitely like ram issue see time amd system ram issue may go amd time intel system assemble customer year come across ram issue cause bad ram cpu work perfectly game excellently game benchmark show good cpu issue interested intel part suggest go th gen basically get part less money system though excellent cpu half decent upgrade previous gen
なす,Reviewed in Japan on 19 April 2024,7700ｋがwindows11に対応していないのでそろそろ新しいPCを組まなければと思いこちらを選びました。今までずっとｋ付きのi7を使ってきたので今回もそうしました。7700ｋが消費電力91ｗなのにこちらは253ｗとあり、目玉が飛び出しました。7700ｋは虎徹で十分に冷えましたがこちらは無理そうで、クーラーはDeepCoolのAK620を選びました。125ｗに電力制限をかければ70度程度に落ち着き、安心して使えそうです。グリスの塗り方を適切にすればもう少し下がりそうに思います。肝心の使用感ですが、論理コア含めて28コアもあるのでよほどの作業をしても重くならないという安心感があります。僕の使用状況を考えるとオーバースペックなのですが、あとになって性能が足りないと後悔するよりも、性能の高い方を買って十分なものを買ったんだと安心するほうが僕の性に合っています。僕がi7を買い続ける理由はこの安心感なのです。電力制限が必要なのも僕にとっては利点です。普段は125ｗに制限をかけておけば、いざというときに制限を解除できるという安心感につながるからです（いざというときなんてきっと来ません。分かっています）今回のi7も十分な安心感を買えたと思います。,Japan,19 April 2024,since k support window chose build new pc soon use k even though k w power consumption w centerpiece popped k cool enough toru seem impossible cooler chose deepcools ak power limit apply w settle degree seem usable confidence grease apply appropriately little low although important feel use core include logical core sense security heavy even good work consider usage overspec well relieve buy high performance buy enough regret performance enough later reason keep buying sense security also advantage power restriction need normally limit w lead sense security cancel limit emergency come case emergency know also buy sufficient security think
一般人,Reviewed in Japan on 8 December 2023,初自作に使用。240mm簡易水冷でそこそこに冷やせます私は制限125wで運用最新のi7を使っているだけで気分的には最高です,Japan,8 December 2023,use first time mm cool simple water cool
Blaz Cegnar,Reviewed in Germany on 15 March 2024,"Haven't installed yet but looks fine. Die size is 30x40 mm, meaning 0,3 ml/0,8 g is the perfect amount of thermal paste (not included). I'll put 5 dots.",Germany,15 March 2024,instal yet look fine die size x mm meaning ml g perfect amount thermal paste include put dot
Falcos01,Reviewed in Canada on 18 January 2024,"Arrived earlier than expected, a very good Cpu. Expansive but what could we do.",Canada,18 January 2024,arrive earlier expect good cpu expansive could
Rich and Jen,Reviewed in the United States on 3 January 2024,"I guess everyone is right, these things are hot and then some.  I went with a off brand AIO, and for the most part I'm good.  It does get spicy when I'm rendering or doing some crazy multi tasking.Gaming seems fine, no issues.  I play all kinds of games, FPS, MMO's, survival, etc.  (Paired with a Gigabyte Gaming 4090 OC, Tforce 64 gigs 6000 M/T DDR5, samsung 990 pro NVME 2 tb x2, no OCing done by me.)I replaced a 5950x, which was having issues for some reason, just felt like it was getting slower and slower, thermal paste and heat were fine on it, never got over 60c with the beefier AIO I had on it.  Just took longer and longer to render things.  I guess I wore it out!I just think you'll want a good AIO, and/or a solid water cooling solution for this to really get the best out of it.  I'm not sure a air cooled option will do you any good, but hey I've been wrong many times, so there might be something that can handle the job.All in all, not bad, but it's not going to give you much performance boost over last gen, matter of fact I found out later 13700k beats it in a lot of tests, blargh!  Either way, its fast, and it runs everything great, so I'm happy till the next go around.",the United States,3 January 2024,guess everyone right thing hot go brand aio part good get spicy render crazy multi task game seem fine issue play kind game fps mmos survival etc pair gigabyte game oc tforce gig ddr samsung pro nvme tb x ocing do replace x issue reason felt like get slow slow thermal paste heat fine never get c beefier aio take longer longer render thing guess wore think want good aio solid water cool solution really get best sure air cool option good hey wrong many time might something handle job bad go give much performance boost last gen matter fact found later k beat lot test blargh either way fast run everything great happy till next go around
Simon R,Reviewed in Germany on 13 January 2024,"Nachdem ich vor einer Weile auf einen 2k 144hz Bildschirm geupgraded hab, hat mein 9600k das Bocken angefangen und konnte in letzter Zeit nicht mehr die gewünschte Leistung bringen.Hab jetzt seit ein paar Tagen dieses gute Stück hier und was soll man sagen… ein Rennpferd bester Güte. High End Gaming bewältigt der 14700k Mühelos. (ein Beispiel: Forza Motorsport unter 25% auslastung laut taskmanager und laut intel monitoring unter 5% auslastung... verwirrend) Man könnte  auch 2 oder 3+ Titel gleichzeitig laufen lassen wenn die Grafikkarte das mitmacht.Mit meiner aio kühlung kann er im Stresstest schon auf 90 grad hochgehen, die ist aber schon bisschen älter, mit einer neuen lässt sich da sicher noch was machen.In Spielen ca. 60-70grad.die performance ist jedenfalls hervorragenddas geld hat sich jedenfalls gelohnt, allerdings ist jetzt meine 3070 wieder das bottleneck 😂👍",Germany,13 January 2024,k hz screen upgraded ago k start chill recently able bring desire performance day good piece say race horse bestquality high end game deal k effortlessly example forza motorsport utilization accord task manager accord intel monitoring utilization confuse title could also run time graphic card take part aio cool stress testalready go degree bit old new one still something play degree performance case excellent money thatbottleneck
Yogesh Sharma,Reviewed in India on 23 July 2023,Ultimate Performance,India,23 July 2023,ultimate performance
Ernesto,Reviewed in Spain on 21 December 2023,Muito bom recomendo e entrega rapida.,Spain,21 December 2023,good recommend deliver quickly
Sandrine,Reviewed in France on 21 August 2022,"Processeur utilisé pour du montage vidéo, retouches photos et un peu de jeu, processeur à l'aise et chauffe beaucoup moins que le modèle K.",France,21 August 2022,processor use video edit photo retouch little game comfortable processor heat much less model k
ちけ,Reviewed in Japan on 26 February 2023,ARMORED CORE VIの発表を機に10年ぶりにPCを組みたくなったので購入しましたが、発熱が高いのでDeepcool AK620のcpuクーラーと合わせて使いつつ、反り防止フレームも取り付けてゲーミングPCとして使っています。Star Citizenというゲームにだけは性能が若干足りないので、後々13世代以降のCPUに買い替えるかもしれません・・・が一般的な有名ゲームで遊ぶ分には快適に遊べています。i7-12700Kと悩みましたが性能と消費電力のバランスを考え無印にしました。（家の事情で冬は電力消費が大きいとブレーカーが落ちる可能性があるので・・・）他の方も書いていますがCPUクーラーと反り防止フレームは別途購入した方がいいですね。発熱と反りの対策が出来れば一般的なゲーム使用には満足できる製品ですので☆５にしました。,Japan,26 February 2023,bought pc first time year announcement armored core vi purchase since fever high use conjunction deepcool ak cpu cooler attach warp frame use game pc masu performance star citizen enough game may replace th generation cpu later worried k thought balance performance power consumption power consumption large winter due circumstance house breaker may fall others also write well purchase cpu cooler anti preventive frame separately take measure fever warpage product satisfactory general game use decide
JohnC,Reviewed in the United Kingdom on 2 August 2023,"Upgraded PC with mother board and graphics card, new board did not facilitate my older processor. Bought this as I considered it fast enough for my needs and at a reasonable price. All works great.",the United Kingdom,2 August 2023,upgraded pc mother board graphic card new board facilitate old processor bought consider fast enough need reasonable price work great
Alexandr,Reviewed in Germany on 23 April 2024,Funktioniert super,Germany,23 April 2024,work perfectly
Gualty,Reviewed in Italy on 21 March 2024,Cpu di elevatissime prestazioni con scheda grafica incorporata molto potente,Italy,21 March 2024,high performance cpu powerful incorporate graphic card
John W.,Reviewed in the United Kingdom on 1 May 2022,"Paired this with 32gb corsair dominator DDR5 @5800mhz , asus prime A , and a 3070ti on windows 11 and I'm having a really smooth experience. Games run flawlessly and much smoother than my 10900k, went into Bios and unlocked the 65w limit and away you go. The cpu stays cool (under lian li galahad 240). Really can't fault it in anyway.",the United Kingdom,1 May 2022,pair gb corsair dominator ddr mhz asus prime ti window really smooth experience game run flawlessly much smoother k go bios unlocked w limit away go cpu stay cool lian li galahad really fault anyway
Samer Shekhmous,Reviewed in Germany on 11 January 2024,Gut,Germany,11 January 2024,gut
Manu,Reviewed in France on 7 April 2022,"Super processeur, très puissant, ne chauffe pas même avec le ventilo Intel fourni. Commandé le dimanche reçu le mardi.... Que du bonheur il se balade dans tous les jeux.",France,7 April 2022,super processor powerful heat even intel ventil provide order sunday receive tuesday happiness wanders game
Awaddd,Reviewed in the United Kingdom on 27 April 2024,Really good and can basically run any game I throw at it.(Paired with a 1650 Ventus,the United Kingdom,27 April 2024,really good basically run game throw pair ventus
Kristopher K.,Reviewed in Germany on 31 March 2023,"Dieser Prozessor hat sich als eine gute Wahl für meinen Low-Budget-PC herausgestellt. Er bietet ausreichend Leistung für alltägliche Aufgaben wie Surfen im Internet und Bearbeiten von Dokumenten. Auch einfache Spiele laufen problemlos. Der Turbo-Boost sorgt für zusätzliche Power, wenn sie benötigt wird. Der Preis ist im Vergleich zu höheren Modellen sehr erschwinglich. Ich bin mit dem Intel Core i3-10105F sehr zufrieden und würde ihn jedem empfehlen, der einen kostengünstigen PC bauen möchte.Mein Patenkind konnte Fortnite problemlos auf meinem Low-Budget-PC mit dem Intel Core i3-10105F und einer RTX 2070 Super spielen. Natürlich gibt es Grenzen für komplexe Anwendungen und Spiele, aber für alltägliche Aufgaben und einfache Spiele ist dieser Prozessor vollkommen ausreichend. Die Installation war einfach und die Leistung ist stabil. Wenn man bedenkt, dass es eine preisgünstige Option für einen Prozessor der 10. Generation ist, bin ich sehr zufrieden damit.",Germany,31 March 2023,processor turn good choice low budget pc offer sufficient performance everyday task surf internet edit document even simple game run smoothly turbo boost ensures additional power need price affordable compare high model satisfied intel core f would recommend anyone want build inexpensive pc fortnite able easily play low budget pc intel core f rtx course limit complex application game processor completely sufficient everyday task simple game installation easy power stable consider inexpensive option th generation processor satisfied
Lorenzo Ruiz,Reviewed in Australia on 16 November 2021,"Was tired of salvaging old pc parts, just not reliable long term esp. if you have important files. Future proofed myself for the next few years with this intel i3 10th gen comet lake refresh cpu. See 3rd picture for benchmark. Happy with purchase!",Australia,16 November 2021,tire salvage old pc part reliable long term esp important file future proofed next year intel th gen comet lake refresh cpu see rd picture benchmark happy purchase
Raoul,Reviewed in Mexico on 18 May 2022,Increible funciona de maravilla junto con 16gb de ram TEAMGROUP T-Force Vulcan Z DDR4 y una Asus TUF-GTX1650-O4GD6-P-GAMING todo en una Asus Prime H510M-E INCREIBLE corre desde Escape from Tarkov hasta Elden Ring lo recomiendo mucho,Mexico,18 May 2022,incredible work wonderfully along gb ram teamgroup force vulcan z ddr asus tuf gtx gd p game everything asus prime
SeFra,Reviewed in Italy on 25 November 2022,"Lasciate perdere commenti o recensioni di gente che capisce poco di informatica...questo non è un semplice processore SOLO da ufficio o internet, è un gran bel processore con un prezzo incredibile...non esiste nessun processore sotto i 130 euro che lontanamente si avvicini alle sue prestazioni..abbinatelo ad una buona scheda video e vi darà grandi soddisfazioni anche in game. Ottima la stabilità. Lo consiglio.",Italy,25 November 2022,forget comment review people understand little computer science simple processor office internet great processor incredible price processor euro canapproach performance abandon good video card give great satisfaction even game excellent stability advise
Bruno wescley de castro Miranda,Reviewed in Brazil on 20 January 2023,"Ótimo processador custo benefício, tinha um i7 da terceira geração e esse mesmo sendo i3 é superior aos top das linhas passadas, meus jogos melhoraram bastante com minha GTX 1660",Brazil,20 January 2023,great cost benefit processor third generation superior top line game improve lot gtx
C. M.,Reviewed in France on 27 May 2023,"Bon marché et efficace pour une utilisation basique, génération plus âgée.",France,27 May 2023,inexpensive efficient basic use old generation
Kuba,Reviewed in the Netherlands on 2 October 2023,Waar is mijn geld!!! Ik wacht 4 weeken op,the Netherlands,2 October 2023,money wait week
Gabriel Vilas,Reviewed in Spain on 19 September 2023,Por el precio que tiene es el mejor procesador del mercado para un uso normal o gaming básico.El procesador con el disipador de serie funciona sin problemas y no veo necesario buscar otra solución de refrigeración a no ser que se quiera hacer un uso realmente intenso y en tal caso un disipador de 20/30€ te hace el apaño y más.,Spain,19 September 2023,price best market processor normal use basic game processor standard dissipator work without problem see necessary look another cool solution unless want make really intense use andin case dissipator make apa
Feng Yang,Reviewed in the United Kingdom on 20 September 2021,"Too good to not not-leave a review. Got it £75, each core cost only £19. played a set of games, Performance is close to I5 10400F. very happy with it. it is cool and quite, the MAX temperature I have is about 55c with a budget cooler master cooler.",the United Kingdom,20 September 2021,good leave review get core cost played set game performance close f happy cool quite max temperature c budget cooler master cooler
